"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Kevin Van Winkle","k. van winkle",16578,"2021_2022","House","HD-043","R",0.131472694023083,65,0.00253936008125952,0.00253936008125952,0.00155424308361828,0.00156396621832968,0.00161446561188247,2,2,1,1,1,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0.139235156536282,2,0.5,0.5,NA
"Tonya Van Beber","t. van beber",22232,"2021_2022","House","HD-048","R",0.102082275266633,66,0.00380904012188928,0.00380904012188928,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0.107486631016043,3,0,0,NA
"Mary Young","m. young",21455,"2021_2022","House","HD-050","D",0.0974452689342054,67,0.00126968004062976,0.00126968004062976,0.00155424308361828,0.00156396621832968,0.00161446561188247,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.103406279530934,1,1,1,NA
"Dominick Moreno","d. moreno",14277,"2021_2022","Senate","SD-021","D",3.37547958612528,1,0.0850159404888417,0.0850159404888417,0.0998751560549313,0.0988225399495374,0.100087032201915,47,47,47,46,45,1,1,1,1,1,46,46,46,45,44,0,0,0,0,0,3.53217673661908,47,0.978723404255319,0.957446808510638,NA
"Chris Hansen","c. hansen",19205,"2021_2022","Senate","SD-031","D",2.64759207294788,2,0.067304286220333,0.067304286220333,0.0769870994590096,0.0777964676198486,0.0783289817232376,37,37,36,36,35,1,1,1,1,1,36,36,35,35,34,0,0,0,0,0,2.75396181483434,37,0.972972972972973,0.945945945945946,NA
"Stephen Fenberg","s. fenberg",18729,"2021_2022","Senate","SD-018","D",2.53513087047967,3,0.0637619553666312,0.0637619553666312,0.0749063670411985,0.0756938603868797,0.0739773716275022,29,29,29,29,28,7,7,7,7,6,22,22,22,22,22,0,0,0,0,0,2.19339370041208,29,1,0.96551724137931,NA
"Kerry Donovan","k. donovan",16569,"2021_2022","Senate","SD-005","D",2.000149646613,4,0.053134962805526,0.053134962805526,0.05826050769871,0.0588730025231287,0.0543951261966928,28,28,26,26,23,2,2,2,2,2,26,26,24,24,21,0,0,0,0,0,1.98524113098087,28,0.928571428571429,0.821428571428571,NA
"Donald Coram","d. coram",10773,"2021_2022","Senate","SD-006","R",1.81753330355922,5,0.053134962805526,0.053134962805526,0.0499375780274657,0.0483599663582843,0.0478677110530896,27,27,21,20,19,3,3,3,3,3,24,24,18,17,16,0,0,0,0,0,1.71300966930205,27,0.740740740740741,0.703703703703704,NA
"Jessie Danielson","j. danielson",16583,"2021_2022","Senate","SD-020","D",1.75596160485105,6,0.0481756996103436,0.0481756996103436,0.0482729920932168,0.048780487804878,0.0504786771105309,24,24,20,20,20,4,4,4,4,4,19,19,15,15,15,1,1,1,1,1,1.63255766311837,24,0.833333333333333,0.833333333333333,NA
"Julie Gonzales","j. gonzales",20029,"2021_2022","Senate","SD-034","D",1.69000939282596,7,0.0442791356712717,0.0442791356712717,0.0499375780274657,0.0483599663582843,0.0478677110530896,21,21,20,19,18,4,4,4,4,4,17,17,16,15,14,0,0,0,0,0,1.50145697411606,21,0.904761904761905,0.857142857142857,NA
"Bob Gardner","b. gardner",18726,"2021_2022","Senate","SD-012","R",1.6756365785418,8,0.0495926319518243,0.0495926319518243,0.0436953807740325,0.0441547518923465,0.0456919060052219,28,28,21,21,21,0,0,0,0,0,28,28,21,21,21,0,0,0,0,0,1.7899750199585,28,0.75,0.75,NA
"Jeff Bridges","j. bridges",19048,"2021_2022","Senate","SD-026","D",1.4970270397029,9,0.0425079702444208,0.0425079702444208,0.0416146483562214,0.0399495374264087,0.0413402959094865,24,24,20,19,19,0,0,0,0,0,24,24,20,19,19,0,0,0,0,0,1.5994824115414,24,0.791666666666667,0.791666666666667,NA
"Janet Buckner","j. buckner",18719,"2021_2022","Senate","SD-028","D",1.34849892067317,10,0.0357775416223875,0.0357775416223875,0.0378693300041615,0.0382674516400336,0.0395996518711923,19,19,17,17,17,2,2,2,2,2,16,16,14,14,14,1,1,1,1,1,1.34977927680851,19,0.894736842105263,0.894736842105263,NA
"Joann Ginal","j. ginal",14268,"2021_2022","Senate","SD-014","D",1.20149853372596,11,0.0336521431101665,0.0336521431101665,0.0332917186849771,0.0336417157275021,0.0326370757180157,17,17,14,14,13,2,2,2,2,2,15,15,12,12,11,0,0,0,0,0,1.1313814681109,17,0.823529411764706,0.764705882352941,NA
"Rhonda Fields","r. fields",11607,"2021_2022","Senate","SD-029","D",1.17599375157931,12,0.0318809776833156,0.0318809776833156,0.0332917186849771,0.0336417157275021,0.0326370757180157,17,17,15,15,14,1,1,1,1,1,16,16,14,14,13,0,0,0,0,0,1.1805281482593,17,0.88235294117647,0.823529411764706,NA
"Chris Kolker","c. kolker",22458,"2021_2022","Senate","SD-027","D",1.09486414180039,13,0.0283386468296139,0.0283386468296139,0.031210986267166,0.0315391084945332,0.0326370757180157,16,16,15,15,15,0,0,0,0,0,16,16,15,15,15,0,0,0,0,0,1.17028290899291,16,0.9375,0.9375,NA
"John Cooke","j. cooke",16513,"2021_2022","Senate","SD-013","R",0.977787675993209,14,0.026567481402763,0.026567481402763,0.0270495214315439,0.0273338940285955,0.0282854656222802,14,14,12,12,12,1,1,1,1,1,13,13,11,11,11,0,0,0,0,0,0.968707530201847,14,0.857142857142857,0.857142857142857,NA
"Robert Rankin","b. rankin",15135,"2021_2022","Senate","SD-008","R",0.906497052016293,15,0.0247963159759121,0.0247963159759121,0.0249687890137328,0.0252312867956266,0.0261096605744125,14,14,12,12,12,0,0,0,0,0,14,14,12,12,12,0,0,0,0,0,0.968707530201847,14,0.857142857142857,0.857142857142857,NA
