bill_number,session,session_type,title,sponsors,out_chamber_sponsors,bill_url
HB15-1048,2015,RS,Life Insurance Principle-based Reserve Requirement,WILLIAMS,BALMER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0218EDBA28A55E4387257D89006FFA3E?opendocument
HB15-1049,2015,RS,Deadly Force Against Intruders In Businesses,EVERETT,GRANTHAM,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2864D0FBCBDB86FF87257D890063254D?opendocument
HB15-1050,2015,RS,Repeal Gun Transfer Background Check Rqmnt & Fee,JOSHI,WOODS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/6B5CEA05F753434887257D89006FB5C1?opendocument
HB15-1051,2015,RS,Administration Local Gov Elections,NEVILLE P.,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/8E8D99F092237C3F87257DA90076427B?opendocument
HB15-1052,2015,RS,Eligibility For Military Family Relief Fund,CARVER; MELTON,TODD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A4D6849C3A8AB45587257D950002EBAF?opendocument
HB15-1053,2015,RS,Ages For Compulsory Education,RANSOM,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/08EDAA14187C9A3987257DB0005B4BF0?opendocument
HB15-1054,2015,RS,Off-Highway Vehicle Roadway Registration,BROWN,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/9B42852F0B1099D687257DAB00772751?opendocument
HB15-1055,2015,RS,Participation In State Employee Assistance Program,ESGAR,GRANTHAM,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5A1A3CE20865689B87257DB00051BF20?opendocument
HB15-1056,2015,RS,Disclosure Information Asset Recovery,CORAM,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/56679E478B0D749587257D8900601EFB?opendocument
HB15-1057,2015,RS,The Statewide Initiative Process,COURT; DELGROSSO,SONNENBERG; HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/741725DD7369959487257D870069BE07?opendocument
HB15-1058,2015,RS,General Fund Surplus Transfers For Education,BECKER J.,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/81A0C6EA6BD873C587257DA1006DFE1D?opendocument
HB15-1059,2015,RS,Denver Health & Hospital Authority Board,GARNETT,GUZMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/66E6A2DD9FB0715E87257D950064A978?opendocument
HB15-1060,2015,RS,Protection Orders Sex Offense Cases,HAMNER,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/A5C1EB48DAE20FF387257D9A0054F493?opendocument
HB15-1061,2015,RS,No Record Sealing Municipal Domestic Violence,VAN WINKLE,ROBERTS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/2BE722F0BBFBEFAC87257D900078F1FA?opendocument
HB15-1062,2015,RS,Increase Penalties For Animal Fighting,MELTON; LEBSOCK,BALMER; SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/5E94FB760516BD5287257DA10081425D?opendocument
HB15-1063,2015,RS,Prohibited Communications Concerning Patents,PABON,BALMER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E86AF8547CDC5CC187257D9A0067AD42?opendocument
HB15-1064,2015,RS,Access Safe Deposit Box Of Decedent,NORDBERG,HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/84BC8538CBB722A587257D96007E8E7D?opendocument
HB15-1065,2015,RS,Regulatory Reform Act Of 2015,DELGROSSO,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/DAB6B440173430EF87257D880062BDAE?opendocument
HB15-1066,2015,RS,Repeal Health Benefit Exchange,JOSHI,LUNDBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/83A339C9877EC2DD87257D89006F73F1?opendocument
HB15-1067,2015,RS,Continuing Professional Development Psychologists,KRAFT-THARP; LANDGRAF,NEWELL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0216E02C44F11AE587257D870082C1DF?opendocument
HB15-1068,2015,RS,Motor Vehicle Impeding Traffic,WILSON,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/899165687333665587257D870080AAB1?opendocument
HB15-1069,2015,RS,Homestead Exemption Recorded Instrument Reqmnts,RYDEN,HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F5E8AAD28501553C87257DA10078330D?opendocument
HB15-1070,2015,RS,Crime Profits Distribution Changes,BUCKNER,MARTINEZ HUMENIK,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/ADBC99137BE471A987257DA1006A7170?opendocument
HB15-1071,2015,RS,Surviving Entity Owns Attorney-client Privilege,KEYSER,HILL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/43DFDAE1287F9CB587257D950004DDAD?opendocument
