term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2017_2018,House,j. melton,"melton, jovan",,,309390,klarner_id,1.4007726081354719,0.02187044365757134,0.02187044365757134,0.019152196118488254,0.01937483854301214,0.017787264318747775,19,19,14,14,10,2,2,1,1,0,17,17,13,13,10,0,0,0,0,0,19,0.7368421052631579,0.5263157894736842,,20,1.522467951705388
2017_2018,House,d. young,"young, dave",,,309409,klarner_id,1.9640838729704484,0.024994792751510102,0.024994792751510102,0.028089887640449437,0.028416429863084475,0.03379580220562078,23,23,22,22,19,1,1,0,0,0,22,22,22,22,19,0,0,0,0,0,23,0.9565217391304348,0.8260869565217391,,7,2.250185453927012
2017_2018,House,l. landgraf,"landgraf, lois",,,309335,klarner_id,0.8368129843636528,0.012497396375755051,0.012497396375755051,0.010214504596527068,0.01033324722293981,0.014229811454998222,11,11,7,7,7,1,1,1,1,1,10,10,6,6,6,0,0,0,0,0,11,0.6363636363636364,0.6363636363636364,,38,0.86909317749521
2017_2018,House,d. michaelson jenet,"michaelsonjenet, dafna",,,362342,klarner_id,1.4599144750120612,0.018746094563632576,0.018746094563632576,0.02170582226762002,0.021958150348747093,0.02312344361437211,14,14,13,13,10,4,4,4,4,3,10,10,9,9,7,0,0,0,0,0,14,0.9285714285714286,0.7142857142857143,,16,1.3090345299678792
2017_2018,House,j. buckner,"buckner, john w.",,,309387,klarner_id,0.9197865113696069,0.012497396375755051,0.012497396375755051,0.014044943820224719,0.014208214931542238,0.012451085023123443,9,9,8,8,5,3,3,3,3,2,6,6,5,5,3,0,0,0,0,0,9,0.8888888888888888,0.5555555555555556,,33,0.7861729055461392
2017_2018,House,e. hooton,"hooton, edie",,,362293,klarner_id,1.414368556416749,0.019787544261612163,0.019787544261612163,0.02170582226762002,0.021958150348747093,0.017787264318747775,17,17,15,15,10,2,2,2,2,0,15,15,13,13,10,0,0,0,0,0,17,0.8823529411764706,0.5882352941176471,,19,1.495999292659543
2017_2018,House,t. carver,"carver, terri",,,322588,klarner_id,0.6995268696408737,0.009373047281816288,0.009373047281816288,0.010214504596527068,0.01033324722293981,0.010672358591248666,9,9,8,8,6,0,0,0,0,0,9,9,8,8,6,0,0,0,0,0,9,0.8888888888888888,0.6666666666666666,,46,0.8143987119977522
2017_2018,House,a. garnett,"garnett, alec",,,322553,klarner_id,0.7757234357716529,0.011455946677775464,0.011455946677775464,0.011491317671092951,0.01033324722293981,0.010672358591248666,9,9,7,6,5,2,2,2,2,1,7,7,5,4,4,0,0,0,0,0,9,0.6666666666666666,0.5555555555555556,,43,0.7229500766858209
2017_2018,House,d. pabon,"pabon, dan",,,295923,klarner_id,1.7135931297814044,0.023953343053530515,0.023953343053530515,0.02553626149131767,0.025833118057349523,0.02312344361437211,19,19,17,17,12,4,4,3,3,1,15,15,14,14,11,0,0,0,0,0,19,0.8947368421052632,0.631578947368421,,10,1.7051439424282393
2017_2018,House,d. thurlow,"thurlow, dan",,,322662,klarner_id,1.4780186709176695,0.019787544261612163,0.019787544261612163,0.020429009193054137,0.02066649444587962,0.024902170046246886,17,17,15,15,14,2,2,1,1,0,15,15,14,14,14,0,0,0,0,0,17,0.8823529411764706,0.8235294117647058,,12,1.6089025184659946
2017_2018,House,t. exum,"exum, thomas (tony) sr.",,,309323,klarner_id,0.555442780777456,0.007290147885857113,0.007290147885857113,0.008937691521961185,0.009041591320072333,0.007114905727499111,6,6,6,6,4,1,1,1,1,0,5,5,5,5,4,0,0,0,0,0,6,1.0,0.6666666666666666,,52,0.5709823364028624
2017_2018,House,c. duran,"duran, crisanta",,,295924,klarner_id,1.223269506231444,0.01770464486565299,0.01770464486565299,0.01787538304392237,0.018083182640144666,0.016008537886873,12,12,10,10,7,5,5,4,4,2,7,7,6,6,5,0,0,0,0,0,12,0.8333333333333334,0.5833333333333334,,22,1.0295892811410285
2017_2018,House,j. coleman,"rashadcoleman, james",,,362286,klarner_id,1.0055494171461679,0.012497396375755051,0.012497396375755051,0.015321756894790603,0.015499870834409714,0.016008537886873,10,10,10,10,7,2,2,2,2,2,8,8,8,8,5,0,0,0,0,0,10,1.0,0.7,,30,0.9610458294886417
2017_2018,House,b. pettersen,"pettersen, brittany",,,309355,klarner_id,1.9210775070185933,0.023953343053530515,0.023953343053530515,0.02936670071501532,0.02970808576595195,0.03023834934187122,19,19,19,19,14,4,4,4,4,3,15,15,15,15,11,0,0,0,0,0,19,1.0,0.7368421052631579,,8,1.8457451405445484
2017_2018,House,j. bridges,"bridges, jeff",,,362279,klarner_id,0.8297651840958649,0.011455946677775464,0.011455946677775464,0.012768130745658836,0.012916559028674762,0.010672358591248666,9,9,8,8,6,2,2,2,2,0,7,7,6,6,6,0,0,0,0,0,9,0.8888888888888888,0.6666666666666666,,39,0.8143987119977522
2017_2018,House,b. rankin,"rankin, bob",,,295881,klarner_id,1.1496335060095855,0.014580295771714226,0.014580295771714226,0.016598569969356484,0.01679152673727719,0.019565990750622556,14,14,13,13,11,0,0,0,0,0,14,14,13,13,11,0,0,0,0,0,14,0.9285714285714286,0.7857142857142857,,24,1.3372603364194924
2017_2018,House,l. liston,"liston, larry g.",,,260060,klarner_id,0.6095055423671313,0.0083315975838367,0.0083315975838367,0.008937691521961185,0.009041591320072333,0.008893632159373888,6,6,5,5,4,2,2,2,2,1,4,4,3,3,3,0,0,0,0,0,6,0.8333333333333334,0.6666666666666666,,49,0.5289075437963208
2017_2018,House,m. weissman,"weissman, mike",,,362361,klarner_id,1.371362190464894,0.018746094563632576,0.018746094563632576,0.022982635342185902,0.02324980625161457,0.014229811454998222,15,15,15,15,8,3,3,3,3,0,12,12,12,12,8,0,0,0,0,0,15,1.0,0.5333333333333333,,21,1.3710042281039305
2017_2018,House,c. hansen,"hansen, chris",,,362285,klarner_id,1.1194024045492752,0.0166631951676734,0.0166631951676734,0.01787538304392237,0.018083182640144666,0.010672358591248666,14,14,12,12,6,2,2,2,2,0,12,12,10,10,6,0,0,0,0,0,14,0.8571428571428571,0.42857142857142855,,26,1.154056511554886
2017_2018,House,p. lawrence,"lawrence, polly",,,309385,klarner_id,0.2966850207211986,0.006248698187877526,0.006248698187877526,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,4,4,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,0,0,0,4,0.5,0.5,,61,0.27768810142108286
2017_2018,House,a. benavidez,"benavidez, adrienne",,,362346,klarner_id,0.7952966744038363,0.013538846073734638,0.013538846073734638,0.012768130745658836,0.011624903125807285,0.005336179295624333,13,13,10,9,3,0,0,0,0,0,13,13,10,9,3,0,0,0,0,0,13,0.6923076923076923,0.23076923076923078,,42,0.9298097449069938
2017_2018,House,s. beckman,"beckman, susan",,,362364,klarner_id,0.7176310655464819,0.010414496979795875,0.010414496979795875,0.008937691521961185,0.009041591320072333,0.012451085023123443,9,9,6,6,6,1,1,1,1,1,8,8,5,5,5,0,0,0,0,0,9,0.6666666666666666,0.6666666666666666,,45,0.7302491267846685
2017_2018,House,c. kennedy,"kennedy, chris",,,322660,klarner_id,1.0404374729133528,0.015621745469693814,0.015621745469693814,0.01787538304392237,0.018083182640144666,0.007114905727499111,12,12,11,11,4,3,3,3,3,0,9,9,8,8,4,0,0,0,0,0,12,0.9166666666666666,0.3333333333333333,,29,0.9869866543927317
2017_2018,House,p. rosenthal,"rosenthal, paul",,,309300,klarner_id,0.9212975806271093,0.015621745469693814,0.015621745469693814,0.014044943820224719,0.011624903125807285,0.008893632159373888,11,11,8,7,4,4,4,3,2,1,7,7,5,5,3,0,0,0,0,0,11,0.6363636363636364,0.36363636363636365,,32,0.8053425144931365
2017_2018,House,s. lontine,"lontine, susan",,,322551,klarner_id,1.2190110847342626,0.0166631951676734,0.0166631951676734,0.01787538304392237,0.018083182640144666,0.017787264318747775,12,12,11,11,9,4,4,3,3,1,8,8,8,8,8,0,0,0,0,0,12,0.9166666666666666,0.75,,23,1.128115686650796
2017_2018,House,s. lebsock,"lebsock, steve",,,309371,klarner_id,0.9104489845855115,0.015621745469693814,0.015621745469693814,0.011491317671092951,0.011624903125807285,0.010672358591248666,12,12,7,7,5,3,3,2,2,1,9,9,5,5,4,0,0,0,0,0,12,0.5833333333333334,0.4166666666666667,,34,0.8469132904181775
2017_2018,House,b. mclachlan,"hallmclachlan, barbara",,,362427,klarner_id,0.9695908514621008,0.012497396375755051,0.012497396375755051,0.014044943820224719,0.014208214931542238,0.016008537886873,9,9,8,8,6,3,3,3,3,3,6,6,5,5,3,0,0,0,0,0,9,0.8888888888888888,0.6666666666666666,,31,0.8143987119977522
2017_2018,House,d. jackson,"jackson, dominique",,,362375,klarner_id,0.9059407369611803,0.012497396375755051,0.012497396375755051,0.015321756894790603,0.015499870834409714,0.008893632159373888,9,9,9,9,4,3,3,3,3,1,6,6,6,6,3,0,0,0,0,0,9,1.0,0.4444444444444444,,35,0.800021891701068
2017_2018,House,h. mckean,"mckean, hugh",,,362398,klarner_id,0.8144503669608629,0.010414496979795875,0.010414496979795875,0.011491317671092951,0.011624903125807285,0.014229811454998222,10,10,9,9,8,0,0,0,0,0,10,10,9,9,8,0,0,0,0,0,10,0.9,0.8,,41,0.9471968433337129
2017_2018,House,m. catlin,"catlin, m",,,,klarner_id,0.425204466322465,0.005207248489897938,0.005207248489897938,0.006384065372829418,0.006458279514337381,0.007114905727499111,4,4,4,4,3,1,1,1,1,1,3,3,3,3,2,0,0,0,0,0,4,1.0,0.75,,57,0.3900634930857793
2017_2018,House,j. salazar,"salazar, joseph a.",,,309363,klarner_id,1.1123756175469506,0.0166631951676734,0.0166631951676734,0.019152196118488254,0.018083182640144666,0.008893632159373888,12,12,11,10,3,4,4,4,4,2,8,8,7,6,1,0,0,0,0,0,12,0.8333333333333334,0.25,,27,0.9376128116873421
2017_2018,House,d. nordberg,"nordberg, dan",,,309313,klarner_id,0.6301492909161966,0.007290147885857113,0.007290147885857113,0.008937691521961185,0.009041591320072333,0.012451085023123443,7,7,7,7,7,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0,7,1.0,1.0,,48,0.7320062741904363
2017_2018,House,f. winter,"winter, faith",,,322621,klarner_id,1.4520459909545407,0.022911893355550928,0.022911893355550928,0.02170582226762002,0.021958150348747093,0.014229811454998222,18,18,14,14,7,4,4,3,3,1,14,14,11,11,6,0,0,0,0,0,18,0.7777777777777778,0.3888888888888889,,17,1.403518806524356
2017_2018,House,d. roberts,"roberts, d",,,,klarner_id,0.815919409687438,0.011455946677775464,0.011455946677775464,0.014044943820224719,0.014208214931542238,0.007114905727499111,10,10,10,10,4,1,1,1,1,0,9,9,9,9,4,0,0,0,0,0,10,1.0,0.4,,40,0.8763684101338032
2017_2018,House,j. singer,"singer, jonathan",,,309304,klarner_id,2.004300860151697,0.02603624244948969,0.02603624244948969,0.02936670071501532,0.02970808576595195,0.032017075773746,22,22,20,20,16,3,3,3,3,2,19,19,17,17,14,0,0,0,0,0,22,0.9090909090909091,0.7272727272727273,,5,2.0470867235328964
2017_2018,House,k. van winkle,"vanwinkle, kevin m.",,,322638,klarner_id,0.6859309213595965,0.011455946677775464,0.011455946677775464,0.007660878447395302,0.007749935417204857,0.010672358591248666,9,9,6,6,6,2,2,0,0,0,7,7,6,6,6,0,0,0,0,0,9,0.6666666666666666,0.6666666666666666,,47,0.7302491267846685
2017_2018,House,p. neville,"neville, patrick",,,322642,klarner_id,0.5008091615251977,0.013538846073734638,0.013538846073734638,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,9,9,1,1,1,4,4,1,1,1,5,5,0,0,0,0,0,0,0,0,9,0.1111111111111111,0.1111111111111111,,53,0.37874613149389524
2017_2018,House,p. covarrubias,"covarrubias, phil",,,362408,klarner_id,0.23836383763434166,0.00416579879191835,0.00416579879191835,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,3,3,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,3,0.3333333333333333,0.3333333333333333,,64,0.17311577653673482
2017_2018,House,j. wilson,"wilson, james d. (jim)",,,309435,klarner_id,0.7510500785870919,0.012497396375755051,0.012497396375755051,0.008937691521961185,0.009041591320072333,0.010672358591248666,10,10,5,5,4,2,2,2,2,2,8,8,3,3,2,0,0,0,0,0,10,0.5,0.4,,44,0.6659944471010943
2017_2018,House,p. buck,"buck, perry l.",,,309407,klarner_id,0.3841667953514839,0.009373047281816288,0.009373047281816288,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,7,7,2,2,2,2,2,0,0,0,5,5,2,2,2,0,0,0,0,0,7,0.2857142857142857,0.2857142857142857,,58,0.380503278899663
2017_2018,House,j. everett,"everett, justin",,,309338,klarner_id,0.47164856998176924,0.012497396375755051,0.012497396375755051,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,10,10,2,2,2,2,2,0,0,0,8,8,2,2,2,0,0,0,0,0,10,0.2,0.2,,56,0.4833184563782432
2017_2018,House,y. willett,"willett, yeulin",,,322659,klarner_id,0.8976737200939666,0.012497396375755051,0.012497396375755051,0.011491317671092951,0.011624903125807285,0.016008537886873,10,10,8,8,8,2,2,1,1,1,8,8,7,7,7,0,0,0,0,0,10,0.8,0.8,,36,0.9051220507271712
2017_2018,House,p. lundeen,"lundeen, paul",,,322587,klarner_id,0.5735469766830643,0.0083315975838367,0.0083315975838367,0.007660878447395302,0.007749935417204857,0.008893632159373888,8,8,6,6,5,0,0,0,0,0,8,8,6,6,5,0,0,0,0,0,8,0.75,0.625,,51,0.6677515945068622
2017_2018,House,c. navarro,"navarroratzlaff, clarice",,,309403,klarner_id,0.4792672279121403,0.006248698187877526,0.006248698187877526,0.006384065372829418,0.006458279514337381,0.008893632159373888,4,4,3,3,3,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,4,0.75,0.75,,55,0.34798870047923747
2017_2018,House,c. wist,"wist, cole",,,19916,klarner_id,1.0802559272849086,0.012497396375755051,0.012497396375755051,0.015321756894790603,0.015499870834409714,0.021344717182497332,10,10,10,10,10,2,2,2,2,2,8,8,8,8,8,0,0,0,0,0,10,1.0,1.0,,28,1.0457232488434804
2017_2018,House,k. ransom,"ransom, kim",,,337406,klarner_id,0.18004265454748475,0.002082899395959175,0.002082899395959175,0.002553626149131767,0.0025833118057349523,0.0035574528637495554,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2,1.0,1.0,,66,0.2091446497686961
2017_2018,House,s. humphrey,"humphrey, stephen",,,309405,klarner_id,0.2916059154342845,0.010414496979795875,0.010414496979795875,0.0,0.0,0.0,6,6,0,0,0,4,4,0,0,0,2,2,0,0,0,0,0,0,0,0,6,0.0,0.0,,62,0.20563035495716034
