"klarner_id","party","district","term","sen"
283608,"R","HD-030","2009_2010",0
260093,"D","HD-031","2009_2010",0
271411,"D","HD-032","2009_2010",0
260097,"D","HD-033","2009_2010",0
271415,"D","HD-034","2009_2010",0
271417,"D","HD-035","2009_2010",0
283621,"D","HD-036","2009_2010",0
271421,"R","HD-037","2009_2010",0
271423,"D","HD-038","2009_2010",0
260109,"R","HD-039","2009_2010",0
283629,"R","HD-040","2009_2010",0
260115,"D","HD-041","2009_2010",0
283634,"D","HD-042","2009_2010",0
271433,"R","HD-043","2009_2010",0
19386,"R","HD-044","2009_2010",0
283640,"R","HD-045","2009_2010",0
283641,"D","HD-046","2009_2010",0
19446,"D","HD-047","2009_2010",0
271443,"R","HD-048","2009_2010",0
17566,"R","HD-049","2009_2010",0
19637,"D","HD-050","2009_2010",0
271448,"R","HD-051","2009_2010",0
260138,"D","HD-052","2009_2010",0
271453,"D","HD-053","2009_2010",0
271457,"R","HD-054","2009_2010",0
283657,"R","HD-055","2009_2010",0
283660,"D","HD-056","2009_2010",0
283661,"R","HD-057","2009_2010",0
283664,"R","HD-058","2009_2010",0
271468,"R","HD-059","2009_2010",0
260153,"R","HD-060","2009_2010",0
260155,"D","HD-061","2009_2010",0
283670,"D","HD-062","2009_2010",0
271475,"R","HD-063","2009_2010",0
20130,"D","HD-064","2009_2010",0
271478,"R","HD-065","2009_2010",0
283513,"R","SD-004","2009_2010",1
19849,"R","SD-008","2009_2010",1
18265,"R","SD-010","2009_2010",1
18519,"R","SD-012","2009_2010",1
19744,"D","SD-014","2009_2010",1
271461,"D","SD-016","2009_2010",1
260005,"D","SD-017","2009_2010",1
283526,"D","SD-018","2009_2010",1
17621,"D","SD-019","2009_2010",1
18685,"D","SD-021","2009_2010",1
18615,"R","SD-023","2009_2010",1
18866,"D","SD-025","2009_2010",1
283536,"D","SD-026","2009_2010",1
19183,"R","SD-027","2009_2010",1
19288,"D","SD-028","2009_2010",1
260101,"D","SD-029","2009_2010",1
18832,"D","SD-031","2009_2010",1
20199,"D","SD-033","2009_2010",1
283547,"D","SD-035","2009_2010",1
271358,"D","HD-001","2007_2008",0
260031,"D","HD-002","2007_2008",0
260033,"D","HD-003","2007_2008",0
19215,"D","HD-004","2007_2008",0
19579,"D","HD-005","2007_2008",0
19953,"D","HD-006","2007_2008",0
260043,"D","HD-007","2007_2008",0
20229,"D","HD-008","2007_2008",0
18104,"D","HD-009","2007_2008",0
18074,"D","HD-010","2007_2008",0
18111,"D","HD-011","2007_2008",0
17586,"D","HD-012","2007_2008",0
271375,"D","HD-013","2007_2008",0
260065,"R","HD-014","2007_2008",0
18265,"R","HD-015","2007_2008",0
260060,"R","HD-016","2007_2008",0
18339,"R","HD-017","2007_2008",0
18377,"D","HD-018","2007_2008",0
271386,"R","HD-019","2007_2008",0
271388,"R","HD-020","2007_2008",0
271389,"R","HD-021","2007_2008",0
271392,"R","HD-022","2007_2008",0
260074,"D","HD-023","2007_2008",0
18618,"D","HD-024","2007_2008",0
271397,"R","HD-025","2007_2008",0
271398,"D","HD-026","2007_2008",0
18720,"D","HD-027","2007_2008",0
271404,"R","HD-028","2007_2008",0
18793,"D","HD-029","2007_2008",0
18866,"D","HD-030","2007_2008",0
260093,"D","HD-031","2007_2008",0
271411,"D","HD-032","2007_2008",0
260097,"D","HD-033","2007_2008",0
271415,"D","HD-034","2007_2008",0
271417,"D","HD-035","2007_2008",0
260101,"D","HD-036","2007_2008",0
271421,"R","HD-037","2007_2008",0
271423,"D","HD-038","2007_2008",0
260109,"R","HD-039","2007_2008",0
19252,"R","HD-040","2007_2008",0
260115,"D","HD-041","2007_2008",0
19320,"D","HD-042","2007_2008",0
271433,"R","HD-043","2007_2008",0
19386,"R","HD-044","2007_2008",0
271437,"R","HD-045","2007_2008",0
19449,"D","HD-046","2007_2008",0
19446,"D","HD-047","2007_2008",0
271443,"R","HD-048","2007_2008",0
17566,"R","HD-049","2007_2008",0
19637,"D","HD-050","2007_2008",0
271448,"R","HD-051","2007_2008",0
260138,"D","HD-052","2007_2008",0
271453,"D","HD-053","2007_2008",0
