"state","year","bill_num","bill_type","num_only","special","special_num","num_bill_mentions","share_cong_mentions","share_state_mentions","source","ex_article_path"
"FL",2013,"hb0867","HB",867,0,NA,2,0,1,"lexisnexis","FL_2013_6.pdf --- Article Number: 55"
"HI",2013,"hb0868","HB",868,0,NA,1,0,0,"newsbank","HI-Adv/2013/06/02/1303F18E28037C08_20130602_146B18D4ADDF2A00.xml"
"TX",2013,"hb0877","HB",877,0,NA,2,0,1,"newsbank","TX/2013/03/14/0C9C30CEEF1DD980_20130314_1453A0AD69D47F00.xml"
"MS",2013,"hb0881","HB",881,0,NA,1,0,0,"newsbank","MS/2013/01/24/0C9C367FBB8A8780_20130124_144055C2312665C0.xml"
"MS",2013,"hb0890","HB",890,0,NA,1,0,0,"newsbank","MS/2013/03/27/0C9C367FBB8A8780_20130327_1454C17E49A72160.xml"
"HI",2013,"hb0891","HB",891,0,NA,1,0,1,"newsbank","HI-Adv/2013/02/17/1303F18E28037C08_20130217_14488AEC55D06D48.xml"
"MS",2013,"hb0894","HB",894,0,NA,1,0,0,"newsbank","MS/2013/02/26/0C9C367FBB8A8780_20130226_144B8A824F9DF490.xml"
"MS",2013,"hb0896","HB",896,0,NA,1,0,0,"newsbank","MS/2013/02/14/0C9C367FBB8A8780_20130214_144741A1D7793378.xml"
"TX",2013,"hb0910","HB",910,0,NA,2,0,0,"newsbank","TX/2013/02/17/0C9C30CEEF1DD980_20130217_14486DE565EFD290.xml"
"TX",2013,"hb0912","HB",912,0,NA,4,0.5,0.5,"newsbank","TX/2013/03/17/0C9C30CEEF1DD980_20130317_1451A4FE41BCB3C0.xml"
"TX",2013,"hb0912","HB",912,1,NA,1,0,0,"newsbank","TX/2013/05/10/0C9C30CEEF1DD980_20130510_14635597344FDC68.xml"
"NC",2013,"hb0918","HB",918,0,NA,1,1,0,"newsbank","NC/2013/05/14/0C9C34A99F5CE700_20130514_1464A949C02E8628.xml"
"NC",2013,"hb0919","HB",919,0,NA,1,0,0,"newsbank","NC/2013/05/15/0C9C34A99F5CE700_20130515_1464EC873509DD98.xml"
"NC",2013,"hb0922","HB",922,0,NA,2,0,0,"newsbank","NC/2013/05/14/0C9C34A99F5CE700_20130514_1464A94A36DEA180.xml"
"TX",2013,"hb0928","HB",928,0,NA,6,0,0.333333333333333,"newsbank","TX/2013/05/08/0C9C30CEEF1DD980_20130508_1462F6B3D4FB9CD0.xml"
"TX",2013,"hb0928","HB",928,1,1,2,0,0,"lexisnexis","TX_2013_s1_1.pdf --- Article Number: 27"
"NC",2013,"hb0930","HB",930,0,NA,1,0,0,"newsbank","NC/2013/06/20/0C9C34A99F5CE700_20130620_1470D1FF8CFFE568.xml"
"HI",2013,"hb0935","HB",935,0,NA,1,0,0,"newsbank","HI-Adv/2013/02/18/1303F18E28037C08_20130218_144930A63540EF40.xml"
"NC",2013,"hb0935","HB",935,0,NA,1,0,0,"newsbank","NC/2013/04/30/0C9C34A99F5CE700_20130430_14600B2FDC1D8668.xml"
"NC",2013,"hb0936","HB",936,0,NA,1,0,0,"newsbank","NC/2013/05/02/0C9C34A99F5CE700_20130502_1460A3958A72AEC0.xml"
"NC",2013,"hb0937","HB",937,0,NA,10,0.2,0,"newsbank","NC/2013/04/30/0C9C34A99F5CE700_20130430_14600B30197DDD18.xml"
"TN",2013,"hb0937","HB",937,0,NA,1,0,0,"newsbank","TN/2013/03/19/13AC9E3821B13E80_20130319_14522EA2EE07A930.xml"
"HI",2013,"hb0942","HB",942,0,NA,2,0,0.5,"newsbank","HI-Adv/2013/01/27/1303F18E28037C08_20130127_14419B2722A07C98.xml"
"NC",2013,"hb0944","HB",944,0,NA,5,0,0,"newsbank","NC/2013/04/28/0C9C34A99F5CE700_20130428_145FBF4467887FA8.xml"
"TN",2013,"hb0948","HB",948,0,NA,2,0,0,"newsbank","TN/2013/04/02/13AC9E3821B13E80_20130402_1456DCD562E1F650.xml"
"TX",2013,"hb0950","HB",950,0,NA,4,0.5,0.5,"newsbank","TX/2013/06/15/0C9C30CEEF1DD980_20130615_146FCB076223DE40.xml"
"TX",2013,"hb0950","HB",950,1,1,1,0,1,"lexisnexis","TX_2013_s1_1.pdf --- Article Number: 53"
"NC",2013,"hb0954","HB",954,0,NA,1,0,0,"newsbank","NC/2013/05/16/0C9C34A99F5CE700_20130516_14654486448FE860.xml"
"FL",2013,"hb0961","HB",961,0,NA,1,0,1,"lexisnexis","FL_2013_5.pdf --- Article Number: 44"
"IL",2013,"hb0961","HB",961,0,NA,2,0,0,"lexisnexis","IL_2013_9.pdf --- Article Number: 8"
"PA",2013,"hb0961","HB",961,0,NA,1,1,1,"newsbank","PA/2013/09/01/0C9C352AB17A8D80_20130901_1488E04223FD6100.xml"
"TX",2013,"hb0970","HB",970,0,NA,2,0,0,"newsbank","TX/2013/02/17/0C9C30CEEF1DD980_20130217_14486DE565EFD290.xml"
"HI",2013,"hb0971","HB",971,0,NA,1,0,1,"newsbank","HI-Adv/2013/01/31/1303F18E28037C08_20130131_144341E97B192A68.xml"
